Projection_Step,Predicted_Timestamp_ms,Predicted_X,Predicted_Y,Predicted_Z,Predicted_Depth_m,Base_Vx_mps,Base_Vy_mps,Base_Vz_mps,Current_U_mps,Current_V_mps,Current_W_mps,Composite_Speed_knots,Prediction_Horizon_s,Uncertainty_Radius_m,Confidence_Score
1,340391.26386285893,6883.453415413241,368.4836765539992,-1557.0908570658673,1557.0908570658673,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.05000091988216925,-0.10814473477235031,-0.007173665039424974,91.93762736066834,11.984120822501136,87.8382129208586,0.8505741699158909
2,352375.38468536007,7335.973634709342,50.04254539201622,-1678.3911457655552,1678.3911457655552,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.08580213830262245,-0.10940571351185575,-0.006378256467535926,91.88307135741456,23.968241645002273,99.30963847664532,0.8342932732917905
3,364359.5055078612,7788.243980997217,-268.4065862330825,-1799.6960573817476,1799.6960573817476,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.1066524795106171,-0.11007330216806555,-0.006764009963592299,91.85158827615216,35.952362467503406,108.11197289619201,0.8222169966802358
4,376343.62633036234,8240.028769808056,-586.9404930227032,-1920.9808014560617,1920.9808014560617,37.84578687130529,-26.4625169063006,-10.115372892097081,-0.1471692169690439,-0.11714725993080223,-0.005081154610500603,91.79573638290839,47.936483290004546,115.53268407739222,0.8123045500815906
5,388327.7471528635,8693.87379273502,-904.9308572593328,-2042.3054366961283,2042.3054366961283,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,59.92060411250568,122.07046187124138,0.8037674679102381
6,400311.8679753646,9147.718815661983,-1222.9212214959625,-2163.630071936195,2163.630071936195,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,71.90472493500681,127.98106479405865,0.7962023507252897
7,412295.98879786575,9601.563838588947,-1540.9115857325921,-2284.9547071762613,2284.9547071762613,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,83.88884575750795,133.4164251359643,0.7893701207585102
8,424280.1096203669,10055.40886151591,-1858.9019499692217,-2406.279342416328,2406.279342416328,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,95.87296658000909,138.47553518896564,0.7831153622072898
9,436264.230442868,10509.253884442875,-2176.892314205851,-2527.6039776563944,2527.6039776563944,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,107.85708740251022,143.22715523392583,0.7773303660013582
10,448248.35126536916,10963.098907369838,-2494.882678442481,-2648.928612896461,2648.928612896461,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,119.84120822501136,147.72134921280878,0.7719368839820734
11,460232.4720878703,11416.943930296802,-2812.8730426791108,-2770.2532481365274,2770.2532481365274,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,131.8253290475125,151.99591135786696,0.7668759746647559
12,472216.59291037143,11870.788953223766,-3130.8634069157406,-2891.577883376594,2891.577883376594,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,143.80944987001362,156.08020402805903,0.7621019456618389
13,484200.71373287257,12324.63397615073,-3448.8537711523704,-3012.9025186166605,3012.9025186166605,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,155.79357069251478,159.99757756606544,0.7575785381575135
14,496184.8345553737,12778.478999077694,-3766.8441353890003,-3134.227153856727,3134.227153856727,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,167.7776915150159,163.76696433996688,0.7532764160644654
15,508168.95537787484,13232.324022004657,-4084.83449962563,-3255.5517890967935,3255.5517890967935,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,179.76181233751703,167.40396733560135,0.7491714530797463
16,520153.076200376,13686.169044931621,-4402.82486386226,-3376.87642433686,3376.87642433686,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,191.74593316001818,170.92162639045947,0.7452435282046082
17,532137.197022877,14140.014067858585,-4720.81522809889,-3498.2010595769266,3498.2010595769266,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,203.73005398251925,174.33097158833476,0.7414756567124426
18,544121.3178453782,14593.859090785549,-5038.80559233552,-3619.525694816993,3619.525694816993,37.84578687130529,-26.4625169063006,-10.115372892097081,0.024744446672954022,-0.07179203020293301,-0.008409823133059482,92.01466006883766,215.71417480502038,177.64143190128598,0.7378533490744947
