Predicted_Timestamp_ms,Threat_Score,Threat_Level,Nearest_Asset_Distance_m,Composite_Speed_knots,Uncertainty_Radius_m
340391.26386285893,0.8693630315904074,High,2610.153047217848,91.93762736066834,87.8382129208586
352375.38468536007,0.8706672690546431,High,2368.4060381101403,91.88307135741456,99.30963847664532
364359.5055078612,0.869298919771091,High,2246.6603470316822,91.85158827615216,108.11197289619201
376343.62633036234,0.8635818908537805,High,2264.087814202857,91.79573638290839,115.53268407739222
388327.7471528635,0.8538769886027264,High,2418.8204737808273,92.01466006883766,122.07046187124138
400311.8679753646,0.846264113343559,High,2516.753095397434,92.01466006883766,127.98106479405865
412295.98879786575,0.8413919599055096,High,2550.0485587782036,92.01466006883766,133.4164251359643
424280.1096203669,0.8322220594114513,High,2704.63950434418,92.01466006883766,138.47553518896564
436264.230442868,0.8194185905967271,High,2961.5920941597583,92.01466006883766,143.22715523392583
448248.35126536916,0.8038424053698372,High,3297.0602516966756,92.01466006883766,147.72134921280878
460232.4720878703,0.7862690905247702,High,3689.6897649863217,92.01466006883766,151.99591135786696
472216.59291037143,0.7672902212617976,High,4123.183297862175,92.01466006883766,156.08020402805903
484200.71373287257,0.74732423855956,High,4585.9673070239505,92.01466006883766,159.99757756606544
496184.8345553737,0.7266590619436186,High,5070.027363024139,92.01466006883766,163.76696433996688
508168.95537787484,0.7054922042770302,Medium,5569.819069766327,92.01466006883766,167.40396733560135
520153.076200376,0.6839603739475395,Medium,6081.46505091083,92.01466006883766,170.92162639045947
532137.197022877,0.6621595453515429,Medium,6602.209898841843,92.01466006883766,174.33097158833476
544121.3178453782,0.6401581824576466,Medium,7130.060281559944,92.01466006883766,177.64143190128598
556105.4386678793,0.6180059155693403,Medium,7663.54809317396,92.01466006883766,180.86114283045703
568089.5594903805,0.5957392770310419,Medium,8201.573313791685,92.01466006883766,183.99718197815776
